N,Tempo
100,3.2799e-05
1000,0.000309838
5000,0.00185185
10000,0.0038515
25000,0.00656213
50000,0.0196971
75000,0.0334828
100000,0.0473292
250000,0.107279
125000,0.0492261
150000,0.0483329
175000,0.063925
220000,0.0855305
