N,Tempo
100,1.9894e-05
1000,0.00184058
5000,0.0210073
10000,0.16102
25000,0.989593
50000,2.66722
75000,8.38129
100000,11.9442
250000,86.0326
125000,21.5739
150000,29.8741
175000,41.8061
220000,57.5088
