N,Tempo
100,2.2898e-05
1000,0.000345196
5000,0.000997022
10000,0.00290859
25000,0.00806195
50000,0.0180336
75000,0.028795
100000,0.0427413
250000,0.0874204
125000,0.0528018
150000,0.0665615
175000,0.0910922
220000,0.0991801
